id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,wacc,0,,,,,,
2,invest_costs_collect_output_th,0,EUR/kW,,,,costs,collector
3,lifetime_collector,0,a,,,,costs,collector
4,opex_collector,0,1,,,,costs,collector
5,invest_costs_absorption_output_cool,0,EUR/kW,,,,costs,absorption_chiller
6,lifetime_absorption,0,,,,,costs,absorption_chiller
7,opex_absorption,0,,,,,costs,absorption_chiller
8,conv_factor_absorption_output_cool,0,1,,,,conversion_factor,absorption_chiller
9,conv_factor_absorption_output_waste,0,1,,,,conversion_factor,absorption_chiller
10,conv_factor_absorption_input_th,0,1,,,,conversion_factor,absorption_chiller
11,conv_factor_absorption_input_el,0,1,,,,conversion_factor,absorption_chiller
12,invest_costs_compression_output_cool,0,EUR/kW,,,,costs,compression_chiller
13,lifetime_compression,0,,,,,costs,compression_chiller
14,opex_compression,0,,,,,costs,compression_chiller
15,conv_factor_compression_output_cool,0,1,,,,conversion_factor,compression_chiller
16,conv_factor_compression_output_waste,0,1,,,,conversion_factor,compression_chiller
17,invest_costs_boiler_output_th,0,EUR/kW,,,,costs,boiler
18,lifetime_boiler,0,,,,,costs,boiler
19,opex_boiler,0,,,,,costs,boiler
20,conv_factor_boiler_output_thermal,0,1,,,,costs,boiler
21,nominal_value_boiler_output_thermal,0,,,,,capacity,boiler
22,invest_costs_tower_input_th,0,EUR/kW,,,,costs,cooling_tower
23,lifetime_tower,0,,,,,costs,cooling_tower
24,opex_tower,0,,,,,costs,cooling_tower
25,conv_factor_tower_input_waste,0,,,,,conversion_factor,cooling_tower
26,conv_factor_tower_input_el,0,,,,,conversion_factor,cooling_tower
27,invest_costs_pv_output_el_09708,0,EUR/0.97087kW,,,,costs,pv
28,pv_invest_costs_output_el,0,EUR/kW,,,,costs,pv
29,lifetime_pv,0,,,,,costs,pv
30,opex_pv,0,,,,,costs,pv
31,size_pv,0,,,,,costs,pv
32,nominal_capacitiy_stor_thermal,0,,,,,capacity,storage_thermal
33,invest_costs_stor_thermal_capacity,0,,,,,costs,storage_thermal
34,lifetime_stor_thermal,0,,,,,costs,storage_thermal
35,opex_stor_thermal,0,,,,,costs,storage_thermal
36,capac_loss_stor_thermal,0,,,,,capacity_losses,storage_thermal
37,conv_factor_stor_thermal_input,0,,,,,conversion_factor,storage_thermal
38,conv_factor_stor_thermal_output,0,,,,,conversion_factor,storage_thermal
39,nominal_capacitiy_stor_el,0,,,,,capacity,storage_electricity
40,invest_costs_stor_el_capacity,0,EUR/kWh,,,,costs,storage_electricity
41,lifetime_stor_el,0,,,,,costs,storage_electricity
42,opex_stor_el,0,,,,,costs,storage_electricity
43,conv_factor_stor_el_input,0,,,,,conversion_factor,storage_electricity
44,conv_factor_stor_el_output,0,,,,,conversion_factor,storage_electricity
45,capac_loss_stor_el,0,,,,,capacity_losses,storage_electricity
46,nominal_capacitiy_stor_cool,0,,,,,capacity,storage_cool
47,invest_costs_stor_cool_capacity,0,,,,,costs,storage_cool
48,lifetime_stor_cool,0,,,,,costs,storage_cool
49,opex_stor_cool,0,,,,,costs,storage_cool
50,capac_loss_stor_cool,0,,,,,capacity_losses,storage_cool
51,conv_factor_stor_cool_input,0,,,,,conversion_factor,storage_cool
52,conv_factor_stor_cool_output,0,,,,,conversion_factor,storage_cool
53,price_electr,0,EUR/kWh,,,,costs,
54,price_gas,0,EUR/kWh,,,,costs,
55,CO2_price_el,0,EUR/kWh,,,,costs,
56,CO2_price_gas,0,EUR/kWh,,,,costs,
57,sol_fraction_thermal,0,1,,Rezibrok,,,system
58,sol_fraction_el,0,1,,Rezibrok,,,system
59,latitude,0,,,,,,collector
60,longitude,0,,,,,,collector
61,collector_tilt,0,,,,,,collector
62,collector_azimuth,0,,,,,,collector
63,eta_0,0,,,,,,collector
64,a_1,0,kW/m2K,,,,,collector
65,a_2,0,kW/m2K2,,,,,collector
66,temp_collector_inlet,0,,,,,,collector
67,delta_temp_n,0,,,,,,collector
